author	date	full_content	lead_text	thumbnail_url	title	url
Bayer Zsolt	2017.12.30.	"Nagy Bandó András nyílt levelet írt nekem, amelyben bocsánatot kért a miniszterelnöktől, annak családjától, és mindazoktól, akiket megbántott otromba és megmagyarázhatatlan kijelentésével.

Nagy Bandó András nyílt levelére e helyen válaszolni fogok, részletesen, sajnos eleddig nem volt rá időm. Most csak annyit, hogy a vasárnap esti (szilveszteri) műsoromat még karácsony előtt vettük fel, amikor még nem született meg Nagy Bandó nyílt levele. És a műsorban nagyon durván bánok Nagy Bandóval. Valószínű, ha a felvétel idején már olvasom a bocsánatkérést, nem lettem volna ennyire szigorú.
Most ennyit tartottam szükségesnek jelezni, de ennyit szükségesnek tartottam.
A folytatás pedig jövőre.
Addig is: Boldog új esztendőt mindenkinek, Nagy Bandó Andrásnak is. "	Nagy Bandó András nyílt levelet írt nekem, amelyben bocsánatot kért a miniszterelnöktől, annak családjától, és mindazoktól, akiket megbántott otromba és megmagyarázhatatlan kijelentésével.	./pages/badog/contents/blog/46500/pics/lead_800x600.jpg	EGY PERC A BEFEJEZETLEN MONDATBÓL	https://badog.blogstar.hu/2017/12/30/egy-perc-a-befejezetlen-mondatbol/46500/
Bayer Zsolt	2017.12.29.	"Tóth Tamara írta az alábbi cikket, Bécsből kaptam, fogadják szeretettel.

MAGYARUL IS BESZÉLŐ MIGRÁCIÓKRITIKUS ÚJ OSZTRÁK KÜLÜGYMINISZTER
2017. december 20. 16:07 
A hét nyelven – köztük magyarul is – beszélő Karin Kneissl váltja Sebastian Kurzot Ausztria külügyminisztereként. Az iszlám szakértőjeként és a migráció kritikusaként ismert Kneissl ugyan független, de a pozíció betöltésére az Osztrák Szabadságpárt vezetője, az immáron alkancellár Heinz-Christian Strache kérte fel
 
Írta: Tóth Tamara (Bécs)
 
Nem spórolt a pozitív jelzőkkel HC Strache, amikor december 16-án egy sajtókonferencia keretében bemutatta Ausztria új külügyminiszterét. Nemcsak Kneissl szakértelmét és nyelvtudását emelte ki, de az alkancellár szerint azzal, hogy újra független külügyminisztere lesz Ausztriának, egy igazán fontos, de a Bruno Kreisky korszak után elfeledett tradíciót élesztenek újjá.
Karin Kneissl 1965. január 18-án született Bécsben.
Ausztriában a Közel-Kelet és az iszlám nagy ismerőjeként tartják számon. Nem véletlenül.

Gyermekkorának egy részét a jordániai Ammánban töltötte, ahol édesapja Husszein király pilótájaként dolgozott. Egyes médiaértesülések szerint édesapja a Royal Jordanian Air légitársaság megalapításában is részt vett. Ezek az évek mély nyomot hagytak a fiatal Karinban, melynek következtében újra és újra visszatért a Közel-Keletre.
Bár világossá vált számára, hogy hosszú távon az arab világban nem tudna élni, elszakadni sem tudott tőle soha. Az 1982-es libanoni háborúval kapcsolatban azt írja: „abban az életkorban, amikor a lányok általában a fiúk iránt kezdenek el érdeklődni, én egy konfliktusba szerettem bele. Esténként egy szótárral a kezemben megszállottan követtem a libanoni híreket. Meg akartam érteni, hogy ki, ki ellen és miért harcol”. Egyetemi tanulmányait a '80-as években végezte. Először a Bécsi Egyetemen szerzett jogi diplomát, majd itt végezte el az arab szakot is. Doktori disszertációjának elkészítése során a jeruzsálemi Héber Egyetemen, illetve az olasz Urbinói Egyetemen is kutatott.
Kneissl az 1990-es években dolgozott már az Osztrák Külügyminisztériumban. Tagja volt az akkori Miniszteri Kabinetnek, dolgozott a Külügyminisztérium nemzetközi jogi irodájában, de töltött be hivatalos posztot Párizsban és Madridban is. Erről az időszakról azt írja Kneissl a Mein Naher Osten (Közel-Keletem) című könyvében, hogy sokkal szívesebben tevékenykedett volna Budapesten, hiszen ekkor tanult magyarul. Útja mégis az Ibériai-félszigetre vezetett. 
1998-ban úgy döntött, hogy maga mögött hagyja a diplomácia világát, és szabadúszó újságíróként kezdett dolgozni. A NATO-val kapcsolatos kritikus írásai miatt többször összetűzésbe került a német Die Welt című napilap szerkesztőségével. Kneissl szerint a lap USA iránti elfogultsága ellehetetlenítette az objektív újságírást. Rendszeresen publikál azóta is német, illetve angol nyelvű újságokban, emellett pedig politikai elemzőként is ismert és elismert Ausztriában. Jelenleg a Bécsi Diplomata Akadémián oktat.
1998 óta egy tanyán él a Bécs melletti Seibersdorfban, ahol 2005 és 2010 között a községi tanács tagja volt, szintén független képviselőként, de akkor még a Néppárt támogatását élvezte.
Kneissl szerint napjaink politikai iszlámja, az iszlám fanatizmus egyfajta anti-globalizációs mozgalomként fogható fel, amely a vallási alapokon nyugvó társadalommodellt állítja szembe a nyugati életformával. E felfogás szerint nem a nemzet vagy a társadalmi osztály válik az identitás középpontjává, hanem a vallás.
Ez maga után vonja azt is, hogy egy erős állampolgári tudatosság kialakulása helyett a társadalom a hívők és a hitetlenek csoportjára tagolódik. Teljesen mindegy, hogy a szegénységről van-e szó vagy a magas élelmiszerárakról, a politikai iszlám azt sugallja, hogy a megoldás csak a vallás lehet. Amennyiben egy muszlim kritikus szemmel tekint vallására, szintén hitetlenné válik.
Az új osztrák külügyminiszter szerint az iszlám világban ma az unokák sokkal vallásosabbak, mint a nagyszüleik voltak, a fiatal lányok pedig sokkal gyakrabban viselnek fejkendőt, mint a liberálisnak számító édesanyáik.Az ember vagy iszlamista, és ezzel együtt az iszlámon alapuló társadalomban és gazdaságban hisz, vagy pedig nem az, és elismeri az állam és az egyház szétválasztásának jogosságát” – állítja.
Kneissl pro-európaiként jellemzi önmagát, de az Európai Unió intézményrendszerének nagy kritikusa. Támogatja a katalánok függetlenségi törekvéseit. Már 2012-ben cikket írt „Katalán Köztársaság? Nemcsak a Balkánon jöhetnek létre új államok” címmel. A Brexit-népszavazás eredménye után megjelent publikációjában Jean-Claude Junckert, az Európai Bizottság elnökét a „hatalom cinikusaként” írta le, emellett „arrogánsnak” és „közönségesnek” nevezte, aki „Brüsszel császárának” tartja önmagát, célja pedig, hogy „egyezségeket szegjen meg, ha az hasznára válik”. Emellett hatalmas felzendülést váltott ki Ausztriában Kneissl azon kijelentése, ami a cionizmust a nácizmushoz hasonló „vér és föld” („Blut und Boden”) ideológiájaként írta le. A vér és föld ideológiája gyakorlatilag a nácik agrárpolitikai követelését jelentette, amely az árják földszerzéshez való jogára irányult.  
Nem meglepő, hogy az iszlámban jártas Kneissl fokozott figyelemmel követte a 2015-ös migrációs válság történéseit.  Az Ausztriába érkezők nagy részét„gazdasági migránsként” jellemezte, akik 80 százalékban fiatal férfiakból állnak. Az osztrák közszolgálati televíziónak adott interjújában azt nyilatkozta, hogy az arab világban tapasztalható konfliktusok egyik oka a „tesztoszteron-vezérelte fiatal férfi, akik nem tud nőhöz jutni, mert nincs sem állása, sem lakása, és így a társadalom által előírt tradicionális férfi szerepet sem tudja betölteni.” 
Kijelentéseit nem csak kritikával illették, a Szabadságpártban többen szimpátiával fogadták szavait. Ezek után Kneissl egyre gyakrabban volt résztvevője a párt által szervezett rendezvényeknek. HC Strache már 2016-ban fontolgatta, hogy pártja támogatásával Kneisslt indítja az az évi elnökválasztáson, de ő akkor még nemet mondott. Helyette Norbert Hofert indította a párt, aki bár a választás első fordulóját megnyerte, végül alulmaradt a Zöldek támogatását élvező Alexander Van der Bellennel szemben.
Angela Merkelt és az Európai Unió menekültpolitikáját szintén heves kritikával illette az újdonsült külügyminiszter.
Az EU szerinte csődöt mondott, a Törökországgal kötött megállapodást pedig ostobaságnak nevezte.
A jelenlegi osztrák szövetségi elnöknek, Alexander Van der Bellennek nemes egyszerűséggel az értelmi képességét kérdőjelezte meg, miután Van der Bellen egy interjú során azt mondta, hogy a muszlimokkal való szolidaritás jegyében minden nőt meg kéne kérni a fejkendő viselésére.  
Strache a 2017-es osztrák választások után és a koalíciós tárgyalások alatt újra megkereste Kneisslt és felkérte külügyminiszternek, aki ekkor már elfogadta a felkérést: „Készen állok Ausztria szolgálatába állni” – nyilatkozta legutóbb a színes karriert befutó külpolitikai szakértő."	Tóth Tamara írta az alábbi cikket, Bécsből kaptam, fogadják szeretettel.	./pages/badog/contents/blog/46467/pics/lead_800x600.jpg	Vendégszerző műve	https://badog.blogstar.hu/2017/12/29/vendegszerzo-muve/46467/
Bayer Zsolt	2017.12.23.	"Igen, nagyon pontos a Jelcin párhuzam a Mandineren. Igen, Boris Jelcin volt ugyanolyan ócska, szétzuhant fasz, mint a mi Jean-Claude-unk. És Boris Oroszországa pontosan úgy nézett ki, mint a mi uniónk mostanában.
Aztán Boris után jött Putyin.


Nálunk?
(És akkor nézzék meg őt, a tántorgó offshore cézárt, a dülöngélő Európa dülöngélő urát:http://mandiner.hu/cikk/20171222_a_dulongelo_juncker_tusknak_tiszteleg)"	Igen, nagyon pontos a Jelcin párhuzam a Mandineren. Igen, Boris Jelcin volt ugyanolyan ócska, szétzuhant fasz, mint a mi Jean-Claude-unk. És Boris Oroszországa pontosan úgy nézett ki, mint a mi uniónk mostanában.	./pages/badog/contents/blog/46333/pics/lead_800x600.jpg	BORIS JUNCKER	https://badog.blogstar.hu/2017/12/23/boris-juncker/46333/
Bayer Zsolt	2017.12.23.		MINDEN KEDVES OLVASÓMNAK ÁLDOTT KARÁCSONYT KÍVÁNOK.	./pages/badog/contents/blog/46334/pics/lead_800x600.jpg	Áldott Karácsonyt kívánok!	https://badog.blogstar.hu/2017/12/23/aldott-karacsonyt-kivanok-/46334/
Bayer Zsolt	2017.12.21.	"-Egy vidéki városban járva azt hallottam, hogy Nagy Bandó András ott szokta baszni az anyját...-Na de az Isten szerelmére, ez mégis csak túlzás...-Miért? Nem ismeri azt a szép magyar mondást, hogy nem zörög a haraszt? Na ugye! Tehát Nagy Bandó András igenis ott bassza az anyját!Vége.

"	Hallottam valamit Nagy Bandó Andrásról!	./pages/badog/contents/blog/46252/pics/lead_800x600.jpg	Azt hallottam...	https://badog.blogstar.hu/2017/12/21/azt-hallottam-/46252/
Bayer Zsolt	2017.12.18.		Egy kretén	./pages/badog/contents/blog/46090/pics/lead_800x600.jpg	Egy kretén	https://badog.blogstar.hu/2017/12/18/egy-kreten/46090/
Bayer Zsolt	2017.12.18.		Néppártosodás	./pages/badog/contents/blog/46089/pics/lead_800x600.jpg	Néppártosodás	https://badog.blogstar.hu/2017/12/18/neppartosodas/46089/
Bayer Zsolt	2017.12.18.		Kormányváltó gigatüntetés	./pages/badog/contents/blog/46088/pics/lead_800x600.jpg	Gigatüntetés	https://badog.blogstar.hu/2017/12/18/gigatuntetes/46088/
Bayer Zsolt	2017.12.15.			./pages/badog/contents/blog/46007/pics/lead_800x600.jpg	Csata után	https://badog.blogstar.hu/2017/12/15/csata-utan/46007/
Bayer Zsolt	2017.12.12.	"Ezt tényleg csak erős idegzetűek nézzék meg, kérem. És gondolkozzanak el, hogy micsoda állatokat hoznak a nyakunkra az idióta, rohadék brüsszeli gazemberek.
Ezeket az állatokat. Akik elevenen megégetnek egy lányt, mert rovidnadrágban biciklizett. És a brüsszeli rohadékok szerint nekünk ezekkel az állatokkal kellene együtt élnünk.Hát nem! Sem ezekkel az állatokkal, sem a brüsszeli idióta barmokkal. Költözzenek össze valahol, ahol akarnak, csak jó messzire tőlünk, a normális, európai emberek világától. Jó messzire a gyerekeinktől, az unokáinktól, a szülinktől, a jövőnktől. 
Hogy legyetek átkozottak mindazért, amit eddig tettetek, és külön azért, amit még készültök megtenni! Legyetek átkozottak a nőket elégető kibaszott állat kedvenceitekkel együtt!
Frissítés:
A videót levettük, mert 2015-ben Dél-Amerikában készült, nem a muszlim világban. "	Ezt tényleg csak erős idegzetűek nézzék meg, kérem. És gondolkozzanak el, hogy micsoda állatokat hoznak a nyakunkra az idióta, rohadék brüsszeli gazemberek.	./pages/badog/contents/blog/45869/pics/lead_800x600.png	Iszonyat ( csak 18 éven felülieknek!)	https://badog.blogstar.hu/2017/12/12/iszonyat-csak-18-even-felulieknek-/45869/
